Date,Outfall Location,CSO_ID,TotalMinutes_combined,Volume_combined,Discharge Latitude,Discharge Longitude,Treated?,notes
7-17-2019,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,18,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-18-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,110,1.79,NA,NA,NA,NA
7-18-2017,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,58,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-22-2019,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,349,16.95,NA,NA,NA,NA
7-22-2019,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,337,4.4,NA,NA,NA,NA
7-22-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,54,0.39,NA,NA,NA,NA
7-23-2019,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,189,1.14,NA,NA,NA,NA
7-23-2020,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,93,4,NA,NA,NA,NA
7-23-2020,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,45,1.2,NA,NA,NA,NA
7-24-2017,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,244,18.14,NA,NA,NA,NA
7-24-2017,MWR205: Somerville Marginal CSO Treatment Facility Outfall (marine discharge),MWR205,242,4.05,NA,NA,NA,NA
7-24-2017,MWR205A: Somerville Marginal CSO Treatment Facility Outfall (freshwater discharge),SOM007A/MWR205A,71,-999,42.398244,-71.083419,Y,high tide relief for Somerville Marginal facility
7-24-2017,MWR215: Union Park CSO Storage and Treatment Facility Outfall,MWR215,151,1.9,NA,NA,NA,NA
7-26-2018,MWR203: Prison Point CSO Storage and Treatment Facility Outfall,MWR203,98,5.72,NA,NA,NA,NA
